Year,Price_to_Income,Real_HPI_Deviation_Pct,Mortgage_Rate_1yr_Pct,Household_DTI_Pct
1986,56,,,
1988,58,,,
1990,60,-12,,
1992,55,-15,,
1994,57,-10,,
1996,62,-5,,
1998,64,-8,,
2000,63,-10,7.8,95
2002,72,-6,7.5,105
2004,86,2,7.8,115
2006,93,12,8.5,125
2008,88,5,9.0,140
2010,89,0,7.4,145
2012,94,2,5.8,142
2014,100,8,5.9,145
2016,112,18,5.0,155
2018,118,22,5.0,160
2019,122,24,4.5,162
2020,132,30,3.0,165
2021,142.9,38,2.8,170
2022,135,28,5.5,170
2023,117,20,7.2,168
2024,107.3,12,7.6,167
2025,105.8,8,5.3,165
