# Gallup World Poll Positive and Negative Experience Indices and the share of
# adults worldwide who experienced stress during a lot of the previous day.
# Variables: year (survey year), positive_experience_index (0-100),
# negative_experience_index (0-100), stress_pct.
# Sources: Gallup Global Emotions reports and Gallup State of the World's
# Emotional Health report. NA means the value was not published in the
# sources reviewed for this brief. 2015 negative index and pre-2017 stress
# shares were not consistently published and are omitted rather than estimated.
year,positive_experience_index,negative_experience_index,stress_pct
2015,71,NA,NA
2016,70,28,NA
2017,69,30,37
2018,71,30,35
2019,71,31,35
2020,71,32,40
2021,69,33,41
2022,70,33,40
2023,71,31,37
2024,72,31,37
