# Estimates of employment exposure to AI from different studies and
# definitions. The measures are not directly comparable; each row states the
# study, scope, measure, and value.
# Variables: study, year, scope, measure, value_pct.
study,year,scope,measure,value_pct
ILO,2023,High-income countries,Employment highly exposed to generative AI automation,5.5
ILO,2023,Low-income countries,Employment highly exposed to generative AI automation,0.4
ILO,2023,High-income countries,Employment potentially augmented by generative AI,13.4
ILO,2023,Low-income countries,Employment potentially augmented by generative AI,10.4
ILO,2023,World,Female employment potentially automatable,3.7
ILO,2023,World,Male employment potentially automatable,1.4
ILO,2023,World,Clerical tasks highly exposed (approximate),24
IMF,2024,World,Employment exposed to AI,40
IMF,2024,Advanced economies,Employment exposed to AI,60
IMF,2024,Emerging markets,Employment exposed to AI,40
IMF,2024,Low-income countries,Employment exposed to AI,26
OECD,2024,OECD average,Workers currently exposed to generative AI,26
OECD,2024,OECD average,Workers potentially exposed in the near future,70
OECD,2024,Urban OECD regions,Workers currently exposed to generative AI,32
OECD,2024,Rural OECD regions,Workers currently exposed to generative AI,21
Frey and Osborne,2017,United States,Employment at high risk of automation (historical estimate),47
