# Distribution of AI use and exposure across groups.
# Variables: group, measure, value_pct, source, year.
group,measure,value_pct,source,year
18-29,US adults who have used ChatGPT,58,Pew Research Center,2025
30-49,US adults who have used ChatGPT,41,Pew Research Center,2025
50-64,US adults who have used ChatGPT,25,Pew Research Center,2025
65+,US adults who have used ChatGPT,10,Pew Research Center,2025
Women worldwide,Employment potentially automatable,3.7,ILO,2023
Men worldwide,Employment potentially automatable,1.4,ILO,2023
World,Employment exposed to AI,40,IMF,2024
Advanced economies,Employment exposed to AI,60,IMF,2024
Emerging markets,Employment exposed to AI,40,IMF,2024
Low-income countries,Employment exposed to AI,26,IMF,2024
Urban OECD regions,Workers exposed to generative AI,32,OECD,2024
Rural OECD regions,Workers exposed to generative AI,21,OECD,2024
Female-dominated occupations,Share of occupations exposed to generative AI,29,ILO,2026
Male-dominated occupations,Share of occupations exposed to generative AI,16,ILO,2026
