# Satisfaction with freedom to choose what to do with one's life
# (Gallup World Poll). Values are percentages satisfied.
# Variables: year, series (us_women = US women; us_all = all US adults;
# world_median = median across countries surveyed), value_pct, scope, note.
# The world values for 2017, 2024 and 2025 are the only global figures
# published by Gallup for this question in the sources reviewed; 2017 is
# reported as a worldwide average and 2024-2025 as medians across countries.
year,series,value_pct,scope,note
2015,us_women,86,United States women,Gallup World Poll trend
2016,us_women,80,United States women,Gallup World Poll trend
2017,us_women,88,United States women,Gallup World Poll trend
2017,world_median,80,Worldwide average,Reported as average across countries (Gallup 2018)
2018,us_women,81,United States women,Gallup World Poll trend
2019,us_women,82,United States women,Gallup World Poll trend
2020,us_women,82,United States women,Gallup World Poll trend
2021,us_women,81,United States women,Gallup World Poll trend
2022,us_women,71,United States women,Gallup World Poll trend
2023,us_women,69,United States women,Gallup World Poll trend
2023,us_all,71,United States all adults,Record low at the time
2024,us_women,66,United States women,Gallup World Poll trend
2024,us_all,72,United States all adults,Gallup (2025)
2024,world_median,81,Worldwide median across 142 countries,Gallup (2025)
2025,world_median,82,Worldwide median across 138 countries,Gallup (2026)
