# Perceived job security and attitudes toward AI at work, various years.
# Variables: year, survey, scope, indicator, value_pct, note.
# Sources: Gallup Work and Education poll (2023), Microsoft Work Trend Index
# (2023 and 2024), Pew Research Center survey of US workers (February 2025).
year,survey,scope,indicator,value_pct,note
2021,Gallup Work and Education,US workers,Share who worry technology will make their job obsolete,15,Prior reading
2023,Gallup Work and Education,US workers,Share who worry technology will make their job obsolete,22,Up 7 points from 2021
2023,Microsoft Work Trend Index,Global knowledge workers,Share who worry AI will replace their job,49,Survey of 31 countries
2023,Microsoft Work Trend Index,Global knowledge workers,Share who would delegate as much work as possible to AI,70,Survey of 31 countries
2024,Microsoft Work Trend Index,Global knowledge workers,Share who used generative AI at work,75,Survey of 31 countries
2024,Microsoft Work Trend Index,Global knowledge workers,Share who reported burnout,46,Survey of 31 countries
2024,Microsoft Work Trend Index,Global knowledge workers,Share who struggled with the pace and volume of work,68,Survey of 31 countries
2025,Pew Research Center,US workers,Share worried about AI use in the workplace,52,February 2025
2025,Pew Research Center,US workers,Share hopeful about AI use in the workplace,36,February 2025
2025,Pew Research Center,US workers,Share overwhelmed by AI use in the workplace,33,February 2025
2025,Pew Research Center,US workers,Share excited about AI use in the workplace,29,February 2025
2025,Pew Research Center,US workers,Share who think AI will lead to fewer job opportunities,32,February 2025
