# Global and selected-country life evaluation, 2011-2025
# Indicator: Cantril ladder life evaluation (0-10), 3-year rolling averages
# as published by the World Happiness Report (WHR 2026, Data for Figure 2.1).
# global_mean is the unweighted mean across all countries with data in each
# report year row; n_countries is the number of countries used.
# Source: World Happiness Report 2026 data file (files.worldhappiness.report
# /WHR26_Data_Figure_2.1.xlsx). The 2013 row is absent from the source file.
year,global_mean,n_countries,united_states,united_kingdom,japan,australia
2011,5.392,156,7.27,6.936,6.059,7.345
2012,5.419,156,7.082,6.883,6.064,7.35
2014,5.376,158,7.119,6.867,5.987,7.284
2015,5.382,157,7.104,6.725,5.921,7.313
2016,5.354,155,6.993,6.714,5.92,7.284
2017,5.376,156,6.886,6.814,5.915,7.272
2018,5.407,156,6.892,7.054,5.886,7.228
2019,5.473,153,6.94,7.165,5.871,7.223
2020,5.533,149,6.951,7.064,5.94,7.183
2021,5.554,146,6.977,6.943,6.039,7.162
2022,5.54,137,6.894,6.796,6.129,7.095
2023,5.528,143,6.725,6.749,6.06,7.057
2024,5.578,147,6.724,6.728,6.147,6.974
2025,5.65,147,6.816,6.694,6.13,6.916
