# Field and lab experimental evidence on generative AI and productivity.
# Variables: study, year, setting, outcome_metric, effect_pct (percentage
# change; positive is a gain, negative is a loss), skill_group.
# Sources: peer-reviewed articles and working papers cited in the report.
study,year,setting,outcome_metric,effect_pct,skill_group
Noy and Zhang,2023,Professional writing tasks,Time to complete task (reduction),40,All participants
Noy and Zhang,2023,Professional writing tasks,Output quality (increase),18,All participants
Peng et al.,2023,Software development with GitHub Copilot,Time to complete task (reduction),55.8,All developers
Brynjolfsson Li and Raymond,2023,Customer support agents,Issues resolved per hour (increase),14,All agents
Brynjolfsson Li and Raymond,2023,Customer support agents,Issues resolved per hour (increase),34,Novice and low-skilled agents
Cui et al.,2024,Software developers (three field experiments),Completed tasks (increase),26.1,All developers
Dell'Acqua et al.,2023,Management consultants,Tasks completed (increase),12.2,All consultants
Dell'Acqua et al.,2023,Management consultants,Task speed (increase),25.1,All consultants
Dell'Acqua et al.,2023,Management consultants,Output quality (increase),40,All consultants
Dell'Acqua et al.,2023,Management consultants,Output quality (increase),43,Below-average consultants
Dell'Acqua et al.,2023,Management consultants,Output quality (increase),17,Above-average consultants
Otis et al.,2024,Small business entrepreneurs in Kenya,Profits (change),15,High-performing entrepreneurs
Otis et al.,2024,Small business entrepreneurs in Kenya,Profits (change),-10,Low-performing entrepreneurs
