game,division,description,odds_1_in,probability
Lotto,1,Match all 6 numbers from 40,3838380,2.60522e-07
Lotto,2,Match 5 numbers plus bonus ball,639730,1.56316e-06
Lotto,3,Match 5 numbers (no bonus),19386,5.15836e-05
Lotto,4,Match 4 numbers plus bonus ball,7754,0.000128965
Lotto,5,Match 4 numbers (no bonus),485,0.00206186
Lotto,6,Match 3 numbers plus bonus ball,363,0.00275482
Lotto,7,Match 3 numbers (no bonus),35,0.02857143
Powerball,1,Match 6 numbers plus Powerball,38383800,2.60522e-08
Powerball,2,Match 5 numbers plus bonus plus Powerball,6397300,1.56316e-07
Powerball,3,Match 5 numbers plus Powerball,193858,5.15842e-06
Powerball,4,Match 4 numbers plus bonus plus Powerball,77543,1.28961e-05
Powerball,5,Match 4 numbers plus Powerball,4846,0.000206355
Powerball,6,Match 3 numbers plus bonus plus Powerball,3635,0.000275103
Powerball,7,Match 3 numbers plus Powerball,352,0.00284091
Strike,4,Match first 4 numbers drawn in exact order,2193360,4.55922e-07
Strike,3,Match any 3 of first 4 numbers in exact order,15244,6.55996e-05
Strike,2,Match any 2 of first 4 numbers in exact order,256,0.00390625
Strike,1,Match any 1 of first 4 numbers in exact order,12,0.08333333
