parameter,value,unit,source
lotto_line_price,0.70,NZD,Lotto NZ (mylotto.co.nz)
powerball_line_price,0.80,NZD (per line on top of Lotto),Lotto NZ (mylotto.co.nz)
strike_line_price,1.00,NZD (per line),Lotto NZ (mylotto.co.nz)
min_lines_per_ticket,4,lines,Lotto NZ (mylotto.co.nz)
min_lotto_ticket_cost,2.80,NZD,Computed: 4 lines x $0.70
draws_per_year,104,draws,Lotto NZ (2 draws per week: Wednesday and Saturday)
total_sales_fy2024,1710000000,NZD,Lotto NZ Integrated Report 2023/24
lotto_family_share_sales,84.4,percent,Lotto NZ Integrated Report 2023/24
lotto_family_sales_fy2024,1443240000,NZD,Computed: 84.4% of $1.71B
community_returns_fy2024,434000000,NZD,Lotto NZ Integrated Report 2023/24
total_community_returns_since_1987,5900000000,NZD,Lotto NZ (cumulative)
avg_spend_per_draw_lotto_family,13877230,NZD,Computed: $1.443B / 104 draws
estimated_lines_per_draw,2500000,lines,Estimated from average spend and typical line prices
powerball_jackpots_struck_fy2024,17,count,Lotto NZ
powerball_millionaires_fy2024,23,persons,Lotto NZ
lotto_only_millionaires_fy2024,41,persons,Lotto NZ
lotto_pool_size,40,numbers,Lotto NZ (mylotto.co.nz)
lotto_numbers_drawn,6,numbers,Lotto NZ (mylotto.co.nz)
bonus_number_drawn,1,numbers,Lotto NZ (mylotto.co.nz)
powerball_pool_size,10,numbers,Lotto NZ (mylotto.co.nz)
unconditional_lotto_div1_prob,2.60522e-07,probability,Computed: 1 / C(40,6)
unconditional_powerball_div1_prob,2.60522e-08,probability,Computed: 1 / (C(40,6) x 10)
strike4_prob,4.55922e-07,probability,Computed: 1 / (40 x 39 x 38 x 37)
