year,month,national_median_price_nzd,reinz_hpi_index,reinz_hpi_yoy_pct,source
2016,Dec,515000,,,"REINZ monthly data via interest.co.nz"
2017,Dec,551750,,,"REINZ monthly data via interest.co.nz"
2018,Dec,560000,,,"REINZ monthly data via interest.co.nz"
2019,Dec,628000,,,"REINZ monthly data via interest.co.nz"
2020,Dec,745000,,,"REINZ monthly data via interest.co.nz"
2021,Nov,925000,,,"REINZ monthly data; Nov 2021 was peak month"
2021,Dec,900000,,,"REINZ monthly data via interest.co.nz"
2022,Dec,785300,,-12.0,"REINZ monthly data via interest.co.nz; approximate HPI YoY"
2023,Jun,780000,,-9.0,"REINZ monthly data; near trough; REINZ June 2023 press release"
2023,Dec,779830,,-4.0,"REINZ monthly data via interest.co.nz; approximate HPI YoY"
2024,Dec,776000,3600,-0.4,"REINZ December 2025 press release; HPI 15.7% below 2021 peak"
2025,Dec,786977,3603,-0.4,"REINZ December 2025 press release"
2026,Feb,795000,3652,0.0,"REINZ February 2026 press release"
