year,quarter,pct_transfers_no_nz_citizen_resident,source
2017,Jun,2.4,"Stats NZ Property Transfer Statistics"
2017,Sep,2.3,"Stats NZ Property Transfer Statistics"
2017,Dec,2.9,"Stats NZ Property Transfer Statistics"
2018,Mar,3.3,"Stats NZ Property Transfer Statistics; peak pre-ban"
2018,Jun,2.8,"Stats NZ Property Transfer Statistics"
2018,Sep,2.0,"Stats NZ Property Transfer Statistics; ban passed Aug 2018"
2018,Dec,2.3,"Stats NZ Property Transfer Statistics; ban effective 22 Oct 2018; lagged effect"
2019,Mar,0.6,"Stats NZ Property Transfer Statistics; 81% drop year-on-year"
2019,Dec,0.5,"Stats NZ Property Transfer Statistics; approximate"
2020,Dec,0.5,"Stats NZ annual data year ended March; approximate"
2021,Dec,0.4,"Stats NZ annual data year ended March"
2022,Dec,0.4,"Stats NZ annual data year ended March"
2023,Dec,0.4,"Stats NZ annual data year ended March"
2024,Jun,0.3,"Stats NZ June 2024 quarter; 114 of 33,609 transfers"
