year,month,ocr_pct,one_year_special_rate_pct,source
2016,Dec,1.75,4.55,"RBNZ OCR history; B21 special mortgage rate data"
2017,Dec,1.75,4.59,"RBNZ OCR history; B21 special mortgage rate data"
2018,Dec,1.75,4.55,"RBNZ OCR history; B21 special mortgage rate data"
2019,Dec,1.00,3.64,"RBNZ OCR history; B21 special mortgage rate data"
2020,Dec,0.25,2.49,"RBNZ OCR history; B21 special mortgage rate data"
2021,Dec,0.75,3.15,"RBNZ OCR history; B21 special mortgage rate data"
2022,Dec,4.25,6.07,"RBNZ OCR history; B21 special mortgage rate data"
2023,Dec,5.50,7.06,"RBNZ OCR history; B21 special mortgage rate data"
2024,Jun,5.50,7.06,"RBNZ OCR history; OCR held 5.50% at this point"
2024,Dec,4.25,5.52,"RBNZ OCR history; B21 special mortgage rate data"
2025,Jun,3.25,4.88,"RBNZ OCR history; B21 special mortgage rate data"
2025,Dec,2.25,4.38,"RBNZ OCR history; B21 special mortgage rate data; chart uses Dec 2025 (not Jun) for consistency"
2026,Jun,2.50,4.67,"RBNZ OCR history; OCR hiked from 2.25% in July 2026; B21 special mortgage rate data"
