year,total_net_migration,nz_citizen_net,non_nz_citizen_net,source
2016,62889,-2226,65115,"Stats NZ international migration; outcomes-based measure, calendar years"
2017,53280,-4846,58126,"Stats NZ international migration; outcomes-based measure"
2018,49567,-7612,57179,"Stats NZ international migration; outcomes-based measure"
2019,72588,2902,69686,"Stats NZ international migration; outcomes-based measure"
2020,36844,21608,15236,"Stats NZ international migration; COVID border closure"
2021,-14950,927,-15877,"Stats NZ international migration; negative total migration"
2022,24900,-25185,50085,"Stats NZ international migration"
2023,127951,-43540,171491,"Stats NZ international migration; record net gain"
2024,23821,-43714,67535,"Stats NZ international migration"
2025,14173,-40033,54205,"Stats NZ international migration; provisional"
