year,new_dwellings_consented,auckland,waikato,wellington,canterbury,otago,source
2016,29900,10026,3552,1992,5903,1809,"Stats NZ building consents; approximate annual totals"
2017,31500,10867,3507,2294,5004,2240,"Stats NZ building consents; approximate"
2018,33500,12862,3742,2731,4769,2001,"Stats NZ building consents; approximate"
2019,38000,15154,4251,3220,5308,2286,"Stats NZ building consents; approximate"
2020,39400,16656,4036,3057,5896,1979,"Stats NZ building consents; approximate"
2021,48899,20529,5236,3656,7714,2341,"Stats NZ press release: Record number of new homes consented in 2021"
2022,49900,21301,4744,3871,8898,2399,"Stats NZ building consents; approximate; peak year"
2023,37200,15488,3548,2427,6959,1968,"Stats NZ building consents; approximate"
2024,33600,13939,2755,1833,6544,2338,"Stats NZ press release: Home consents up in Otago only"
2025,36619,15617,3044,2171,7316,2630,"Stats NZ press release: Auckland leads rise in new homes consented"
