figure,series,unit,frequency,coverage,primary_source,source_url,construction_note
1,"FHB share of property purchases","Percent of total purchases","Annual","New Zealand","CoreLogic/Cotality NZ Buyer Classification","https://www.cotality.com/nz/insights/","Based on name-matching against land registry; captures all dwelling purchases by first-time owner-occupiers. Q4 2025 quarterly record was 28.2%."
2,"National median house price","NZD","Annual (selected months)","New Zealand","REINZ monthly data via interest.co.nz","https://www.interest.co.nz/charts/real-estate/median-price-reinz","Median unconditional sale price. Selected snapshots use December figures unless otherwise noted. REINZ HPI index from SPAR methodology launched April 2017."
3,"Regional median prices","NZD","Annual","Auckland, Wellington, Christchurch, New Zealand","REINZ monthly data","https://www.reinz.co.nz/Web/Web/News/News-Articles/Market-updates/","Approximate annual medians. Regional index levels behind REINZ paywall; annual medians compiled from press releases and interest.co.nz."
4,"Days to sell","Days (median)","Annual","New Zealand","REINZ monthly data via interest.co.nz","https://www.interest.co.nz/charts/real-estate/days-sell","Median days from listing to unconditional sale. Annual median calculated from monthly values."
5,"Sales volumes","Count of unconditional sales","Annual","New Zealand","REINZ monthly data via interest.co.nz","https://www.interest.co.nz/charts/real-estate/volumes-sold-reinz","Sum of monthly counts. Subject to revision. REINZ official 2025 total is 80,655."
6,"Overseas buyer share","Percent of home transfers","Quarterly/Annual","New Zealand","Stats NZ Property Transfer Statistics","https://www.stats.govt.nz/topics/property/","% of home transfers with no NZ citizen or resident visa holder as buyer. Excludes corporate-only transfers from denominator. Ban effective 22 October 2018."
7,"OCR and mortgage rates","Percent per annum","Annual (selected months)","New Zealand","RBNZ B21 series (special rates), RBNZ OCR history","https://www.rbnz.govt.nz/statistics/series/exchange-and-interest-rates/","1-year special (discounted) rate for borrowers meeting criteria (e.g. 30% equity). OCR from RBNZ Monetary Policy Statements."
8,"Net migration","Persons per year","Annual","New Zealand","Stats NZ International Migration","https://www.stats.govt.nz/information-releases/international-migration-december-2025/","Outcomes-based measure (12/16-month rule). Non-NZ citizen net migration calculated as total net migration minus NZ citizen net."
9,"Building consents","Number of new dwellings consented","Annual","New Zealand and selected regions","Stats NZ Building Consents Issued","https://www.stats.govt.nz/information-releases/building-consents-issued-may-2026/","Annual totals for calendar years. Some early years (~) are approximate, derived from regional breakdowns. 2021 and 2024-2025 are from Stats NZ press releases."
10,"FHB characteristics","Various (age in years, price in NZD, count, NZD billions)","Annual","New Zealand","Cotality-Westpac FHB Report, FMA KiwiSaver Annual Report","https://www.cotality.com/nz/insights/","Age from Westpac lending records (may not represent all FHBs). Price from CoreLogic buyer classification. KiwiSaver withdrawals from FMA/IRD."
N/A,"LVR timeline","N/A","Event-based","New Zealand","RBNZ LVR restrictions timeline","https://www.rbnz.govt.nz/regulation-and-supervision/oversight-of-banks/standards-and-requirements-for-banks/macroprudential-policy/timeline-for-loan-to-value-ratio-restrictions","Summary of key LVR policy events. Speed limits expressed as maximum percentage of new lending above specified LVR threshold."
