date,event,lvr_owner_occupier_rule,lvr_investor_rule,source
2013-10-01,"LVR restrictions first introduced","Max 10% of new lending above LVR 80%","Same as owner-occupier","RBNZ LVR timeline"
2018-01-01,"LVR eased (minor)","Slight easing","Slight easing","RBNZ LVR timeline"
2019-01-01,"LVR eased further","Max 20% above LVR 80% (from 15%)","Max 5% above LVR 70% (from 65%)","RBNZ LVR timeline"
2020-05-01,"LVR REMOVED (12 months, COVID)","No restrictions","No restrictions","RBNZ LVR timeline"
2021-03-01,"LVR reinstated to pre-COVID","Max 20% above LVR 80%","Max 5% above LVR 70%","RBNZ LVR timeline"
2021-05-01,"Investor LVR tightened","No change","Max 5% above LVR 60% (40% deposit)","RBNZ LVR timeline"
2021-11-01,"Owner-occupier LVR tightened","Max 10% above LVR 80% (from 20%)","No change","RBNZ LVR timeline"
2023-06-01,"LVR eased","Max 15% above LVR 80% (from 10%)","Max 5% above LVR 65% (from 60%)","RBNZ LVR timeline"
2024-07-01,"LVR eased + DTI introduced","Max 20% above LVR 80%","Max 5% above LVR 70%","RBNZ LVR timeline; DTI effective 1 July 2024"
2025-12-01,"LVR eased further (current)","Max 25% above LVR 80%","Max 10% above LVR 70%","RBNZ press release November 2025"
