income_nzd,marginal_rate_pct,cumulative_income_tax_nzd,effective_rate_pct
10000,10.5,1050.00,10.50
20000,17.5,2408.00,12.04
30000,17.5,4158.00,13.86
40000,17.5,5908.00,14.77
50000,17.5,7658.00,15.32
60000,30.0,10220.50,17.03
70000,30.0,13220.50,18.89
80000,33.0,16277.50,20.35
90000,33.0,19577.50,21.75
100000,33.0,22877.50,22.88
120000,33.0,29477.50,24.56
140000,33.0,36077.50,25.77
160000,33.0,42677.50,26.67
180000,33.0,49277.50,27.38
200000,39.0,57077.50,28.54
220000,39.0,64877.50,29.49
250000,39.0,76577.50,30.63
280000,39.0,88277.50,31.53
300000,39.0,96077.50,32.03
