parameter,value,unit,applicable_period,source,source_url
Personal tax rate band 1,10.5,percent,2025/26 (income $0 to $15600),IRD Tax rates for individuals,https://www.ird.govt.nz/income-tax/income-tax-for-individuals/tax-codes-and-tax-rates-for-individuals/tax-rates-for-individuals
Personal tax rate band 2,17.5,percent,2025/26 (income $15601 to $53500),IRD Tax rates for individuals,https://www.ird.govt.nz/income-tax/income-tax-for-individuals/tax-codes-and-tax-rates-for-individuals/tax-rates-for-individuals
Personal tax rate band 3,30.0,percent,2025/26 (income $53501 to $78100),IRD Tax rates for individuals,https://www.ird.govt.nz/income-tax/income-tax-for-individuals/tax-codes-and-tax-rates-for-individuals/tax-rates-for-individuals
Personal tax rate band 4,33.0,percent,2025/26 (income $78101 to $180000),IRD Tax rates for individuals,https://www.ird.govt.nz/income-tax/income-tax-for-individuals/tax-codes-and-tax-rates-for-individuals/tax-rates-for-individuals
Personal tax rate band 5 (top),39.0,percent,From 1 April 2021 (income over $180000),IRD Tax rates for individuals,https://www.ird.govt.nz/income-tax/income-tax-for-individuals/tax-codes-and-tax-rates-for-individuals/tax-rates-for-individuals
Company tax rate,28.0,percent,Current,IRD Company tax return guide (IR4),https://www.ird.govt.nz/income-tax/income-tax-for-businesses-and-organisations/income-tax-for-companies
Trustee tax rate,39.0,percent,From 2024/25 income year,IRD Trustee income tax rates,https://www.ird.govt.nz/income-tax/income-tax-for-businesses-and-organisations/income-tax-for-trusts-and-estates/trustee-income-tax-rates
Trustee de minimis threshold,10000,NZD,From 2024/25 income year (33% rate at or below),IRD Trustee income tax rates,https://www.ird.govt.nz/income-tax/income-tax-for-businesses-and-organisations/income-tax-for-trusts-and-estates/trustee-income-tax-rates
GST rate,15.0,percent,Current,IRD GST,https://www.ird.govt.nz/gst
GST registration threshold,60000,NZD,Rolling 12-month taxable supplies,IRD GST (GST Act 1985 s 51),https://www.ird.govt.nz/gst/registering-for-gst
Provisional tax RIT threshold,5000,NZD,Current,IRD Provisional tax,https://www.ird.govt.nz/income-tax/provisional-tax
Provisional tax standard uplift (prior year),105,percent,Current,IRD Provisional tax options,https://www.ird.govt.nz/income-tax/provisional-tax/provisional-tax-options
Provisional tax standard uplift (year before last),110,percent,Current,IRD Provisional tax options,https://www.ird.govt.nz/income-tax/provisional-tax/provisional-tax-options
Provisional tax safe harbour threshold,60000,NZD,Prior-year RIT below this is protected from UOMI,IRD Interest on provisional tax,https://www.ird.govt.nz/income-tax/provisional-tax/interest-on-provisional-tax
UOMI underpayment rate,8.97,percent,From 16 January 2026,IRD UOMI rate change January 2026,https://www.ird.govt.nz/updates/news-folder/2025/use-of-money-interest-uomi-rate-change-january-2026
UOMI overpayment rate,2.25,percent,From 16 January 2026,IRD UOMI rate change January 2026,https://www.ird.govt.nz/updates/news-folder/2025/use-of-money-interest-uomi-rate-change-january-2026
ACC earners levy rate,1.67,percent,2025/26,IRD ACC earners levy rates,https://www.ird.govt.nz/income-tax/income-tax-for-individuals/acc-clients-and-carers/acc-earners-levy-rates
ACC earners levy maximum earnings,152790,NZD,2025/26,IRD ACC earners levy rates,https://www.ird.govt.nz/income-tax/income-tax-for-individuals/acc-clients-and-carers/acc-earners-levy-rates
ACC earners levy maximum payable,2551.59,NZD,2025/26,IRD ACC earners levy rates,https://www.ird.govt.nz/income-tax/income-tax-for-individuals/acc-clients-and-carers/acc-earners-levy-rates
ACC earners levy rate,1.75,percent,2026/27,IRD ACC earners levy rates,https://www.ird.govt.nz/income-tax/income-tax-for-individuals/acc-clients-and-carers/acc-earners-levy-rates
ACC earners levy maximum earnings,156641,NZD,2026/27,IRD ACC earners levy rates,https://www.ird.govt.nz/income-tax/income-tax-for-individuals/acc-clients-and-carers/acc-earners-levy-rates
ACC earners levy maximum payable,2741.22,NZD,2026/27,IRD ACC earners levy rates,https://www.ird.govt.nz/income-tax/income-tax-for-individuals/acc-clients-and-carers/acc-earners-levy-rates
IETC maximum credit,520,NZD,From 31 July 2024,IRD Independent earner tax credit,https://www.ird.govt.nz/income-tax/income-tax-for-individuals/individual-tax-credits/independent-earner-tax-credit-ietc
IETC full-credit lower bound,24000,NZD,From 31 July 2024,IRD Independent earner tax credit,https://www.ird.govt.nz/income-tax/income-tax-for-individuals/individual-tax-credits/independent-earner-tax-credit-ietc
IETC abatement start,66000,NZD,From 31 July 2024 (13c per dollar above),IRD Independent earner tax credit,https://www.ird.govt.nz/income-tax/income-tax-for-individuals/individual-tax-credits/independent-earner-tax-credit-ietc
IETC upper cut-out,70000,NZD,From 31 July 2024 (nil at this income),IRD Independent earner tax credit,https://www.ird.govt.nz/income-tax/income-tax-for-individuals/individual-tax-credits/independent-earner-tax-credit-ietc
Investment Boost upfront deduction,20,percent,Assets first available for use on or after 22 May 2025,IRD New assets Investment Boost,https://www.ird.govt.nz/income-tax/income-tax-for-businesses-and-organisations/types-of-business-expenses/new-assets---investment-boost
FBT single rate,63.93,percent,Current,IRD FBT calculation options and rates,https://www.ird.govt.nz/employing-staff/deductions-from-other-payments/fringe-benefit-tax/calculating/how-fbt-is-calculated/calculation-options-and-rates
FBT alternate rate,49.25,percent,Current,IRD FBT calculation options and rates,https://www.ird.govt.nz/employing-staff/deductions-from-other-payments/fringe-benefit-tax/calculating/how-fbt-is-calculated/calculation-options-and-rates
KiwiSaver default rate (to 31 Mar 2026),3.0,percent,To 31 March 2026,IRD KiwiSaver changes,https://www.ird.govt.nz/kiwisaver-changes
KiwiSaver default rate (from 1 Apr 2026),3.5,percent,From 1 April 2026,IRD KiwiSaver changes,https://www.ird.govt.nz/kiwisaver-changes
KiwiSaver default rate (from 1 Apr 2028),4.0,percent,From 1 April 2028,IRD KiwiSaver changes,https://www.ird.govt.nz/kiwisaver-changes
KiwiSaver government contribution match,25,cents per dollar,From 1 July 2025,IRD KiwiSaver changes,https://www.ird.govt.nz/kiwisaver-changes
KiwiSaver government contribution maximum,260.72,NZD,From 1 July 2025,IRD KiwiSaver changes,https://www.ird.govt.nz/kiwisaver-changes
KiwiSaver member contribution for full government top-up,1042.86,NZD,From 1 July 2025,IRD KiwiSaver changes,https://www.ird.govt.nz/kiwisaver-changes
KiwiSaver government contribution income cut-out,180000,NZD,From 1 July 2025,IRD KiwiSaver changes,https://www.ird.govt.nz/kiwisaver-changes
PIE prescribed investor rate (max),28.0,percent,Current,IRD NZ resident individuals PIE income,https://www.ird.govt.nz/income-tax/income-tax-for-individuals/types-of-individual-income/portfolio-investment-entity-income-for-individuals/nz-residents
Dividend RWT rate,33.0,percent,Current (reduced by imputation credits),IRD Using the right RWT rate,https://www.ird.govt.nz/income-tax/withholding-taxes/resident-withholding-tax-rwt/using-the-right-rwt-tax-rate
