figure,series,unit,frequency,coverage,primary_source,source_url,construction_note
Figure 1,NZ real house price index,index (2010=100),annual (indicative points),1970-2025,BIS Residential Property Price Statistics (long series real HPI deflated by CPI),https://www.bis.org/statistics/pp_residential_2602.htm,Indicative annual points read from the BIS harmonised long real series; not the full quarterly BIS file
Figure 1,AU real house price index,index (2010=100),annual (indicative points),1970-2025,BIS Residential Property Price Statistics (long series real HPI deflated by CPI),https://www.bis.org/statistics/pp_residential_2602.htm,Indicative annual points read from the BIS harmonised long real series; not the full quarterly BIS file
Figure 2,NZ real HPI growth at policy milestones,percent yoy,event-based (not evenly spaced),1990-2025,BIS real HPI (author-selected event windows); policy dates from RBNZ/HUD/IRD,https://www.bis.org/statistics/pp_residential_2602.htm,Author-compiled approximate real price change around each policy event; illustrative event comparison not a continuous series
Figure 3,NZ price-to-income ratio,index (2015=100),annual (indicative points),1986-2025,OECD Analytical house price indicators (price-to-income),https://www.oecd.org/en/data/indicators/housing-prices.html,Indicative annual points from the OECD seasonally adjusted price-to-income series
Figure 3,Long-run median line,index (2015=100),constant,1986-2025,Author computation from OECD series,https://www.oecd.org/en/data/indicators/housing-prices.html,Median (88.9) of the OECD price-to-income series over the sample
Figure 4,NZ real HPI deviation from trend,percent,annual (author computation),1990-2025,Author computation (one-sided HP filter on BIS real HPI),https://www.bis.org/statistics/pp_residential_2602.htm,"One-sided Hodrick-Prescott filter, lambda=400000; deviation of real HPI from the filtered trend; approximate"
Figure 5,Valuation z-scores (current vs peak),standard deviations,two snapshots (Q1 2025 vs Q4 2021),1986-2025 sample,Author computation from OECD/BIS/RBNZ series,https://www.oecd.org/en/data/indicators/housing-prices.html,Z-scores of each metric relative to its own long-run mean and standard deviation over the available sample
Figure 6,NZ 1-year fixed mortgage rate,percent,annual (indicative points),2000-2025,RBNZ B20 new residential mortgage standard interest rates,https://www.rbnz.govt.nz/statistics/series/exchange-and-interest-rates/new-residential-mortgage-standard-interest-rates,Indicative annual points from RBNZ carded 1-year fixed rates
Figure 6,NZ household debt-to-income,percent,annual (indicative points),2000-2025,RBNZ household debt key statistics (C series),https://www.rbnz.govt.nz/statistics/key-statistics/household-debt,Indicative annual points of household debt as a percentage of disposable income
Figure 7,NZ building consents,thousands of dwellings,annual (indicative points),1995-2025,Stats NZ building consents issued,https://www.stats.govt.nz/topics/building/,Indicative annual dwelling consent counts
Figure 7,NZ net migration,thousands of people,annual (indicative points),1995-2025,Stats NZ international migration,https://www.stats.govt.nz/topics/building/,Indicative annual net permanent and long-term migration
Figure 8,International peak-to-trough real declines,percent,episode-based,various episodes,BIS and national statistical agencies plus academic literature,https://www.bis.org/statistics/pp_residential_2602.htm,"NZ and AU are ongoing corrections (asterisked); Ireland 2007-2012, Spain 2007-2015, Canada 2022-, Sweden 2022-2024"
