# AI Adoption in Accounting Firms
# Compiled 29 July 2026 by Dr Yuqian Zhang
#
# Source 1: Wolters Kluwer, "Future Ready Accountant Report" (2024 and 2025 editions).
#   Survey of accounting firms globally. The 2024 report found 9% using GenAI,
#   42% planning/considering, 49% with no plans. The 2025 report found 41%
#   using GenAI, 34% planning/considering, 25% with no plans.
#   Source: www.wolterskluwer.com/en/know/future-ready-accountant
#
# Source 2: Thomson Reuters Institute, "2025 Generative AI in Professional
#   Services Report" (2025). Survey focused on tax firms specifically.
#   Found 21% of tax firms currently using GenAI, 53% planning/considering,
#   25% with no GenAI plans. Also found 68% of tax and accounting professionals
#   reported feeling "excited" or "hopeful" about GenAI.
#   Source: www.thomsonreuters.com/en-us/posts/tax/2025-genai-professional-services
#
# Note: The Wolters Kluwer and Thomson Reuters surveys use different sampling
# frames (accounting broadly vs. tax specifically). Percentages are not
# directly comparable across sources.
#
# Columns: source,year,category,percentage
source,year,category,percentage
Wolters Kluwer,2024,Using GenAI,9
Wolters Kluwer,2024,Planning or considering,42
Wolters Kluwer,2024,No current plans,49
Wolters Kluwer,2025,Using GenAI,41
Wolters Kluwer,2025,Planning or considering,34
Wolters Kluwer,2025,No current plans,25
Thomson Reuters,2025,Using GenAI (tax firms),21
Thomson Reuters,2025,Planning GenAI (tax firms),53
Thomson Reuters,2025,No GenAI plans (tax firms),25
Thomson Reuters,2025,Excited or hopeful about GenAI,68
