# AI-Related Publications in Top Accounting Journals (2017-2026)
# Compiled 29 July 2026 by Dr Yuqian Zhang
#
# Methodology:
#   Searched Scopus and Web of Science for AI/LLM/NLP-related keywords
#   (including: "artificial intelligence", "machine learning", "deep learning",
#   "natural language processing", "large language model", "transformer",
#   "neural network", "textual analysis", "automated", "algorithmic")
#   in the following journals (ABS 4/4* and ABDC-A* where applicable):
#   The Accounting Review, Journal of Accounting Research, Journal of
#   Accounting and Economics, Contemporary Accounting Research, Review of
#   Accounting Studies, Accounting Organizations and Society, Management
#   Science, Journal of Finance, Journal of Financial Economics, Review of
#   Financial Studies, Journal of Financial and Quantitative Analysis,
#   Journal of Information Systems, and others.
#
# Classification: Each paper was classified by abstract review into
#   "methodological_empirical" (papers that apply or develop AI/NLP methods
#   to accounting/finance questions) or "conceptual_review" (papers that
#   discuss, review, or theorise about AI in accounting/finance).
#
# Important caveats:
#   - Keyword-based classification may misclassify some papers.
#   - Counts for 2025 are partial (publication lag and indexing delays);
#     we include articles published by mid-2026 and those with accepted
#     (forthcoming) status.
#   - Counts for 2026 are projected based on the 2022-2025 growth trend.
#     These are estimates, not confirmed counts.
#   - Classification into methodological vs. conceptual is subjective and
#     based on abstract-level screening.
#
# Columns: year,methodological_empirical,conceptual_review,total
year,methodological_empirical,conceptual_review,total
2017,3,5,8
2018,4,6,10
2019,5,8,13
2020,7,11,18
2021,9,14,23
2022,15,18,33
2023,28,22,50
2024,42,30,72
2025,58,38,96
2026,70,42,112
